id_laporan,teks_laporan,label_prioritas,sumber_data
ID-0070,"Malam admin, tolong dipastikan besok pagi petugas gerobak motor roda tiga yang biasa ngambil sampah ke kampung tetap beroperasi normal ya. Soalnya sampah sisa masakan warga udah lumayan menumpuk di tempat sampah depan rumah, takut makin bau.",Sedang,llm_generated
ID-0071,"Info min, di pinggir jalan raya seberang kecamatan ada dahan pohon lumayan besar patah nutupin selokan, terus sekarang malah ketambahan ditumpuki sampah plastik sama orang lewat. Tolong segera diangkut dan dibersihkan biar jalanannya kelihatan rapi lagi.",Sedang,llm_generated
ID-0072,"Permisi min, tolong bantu edukasi warga yang suka buang ke bak sampah komunal pinggir jalan raya dong. Banyak banget yang buang plastik sampah tanpa diikat rapat, alhasil pas diangkat petugas isinya pada tumpah berhamburan kena angin.",Sedang,llm_generated
ID-0073,"Lapor pak dishub atau kebersihan, itu dua tong sampah yang ada di fasilitas halte bus TransJogja udah penuh banget sampai sampahnya ngga muat buat ditutup lagi. Tolong dikosongkan besok pagi ya pak biar calon penumpang ngga keganggu pemandangannya.",Sedang,llm_generated
ID-0074,"Siang min, ini ada aduan warga terkait tumpukan sisa puing material rombakan bangunan yang dicampur sama sampah plastik ngegeletak begitu aja di atas trotoar. Sangat mengganggu hak pejalan kaki karena akses jalannya jadi tertutup separuh.",Sedang,llm_generated
ID-0075,"Lapor pak, volume tumpukan sampah plastik liar di lahan kosong persis sebelah barat masjid udah mulai membesar tiap harinya. Khawatir kalau ngga cepat dibersihkan, bakal makin banyak orang luar kampung yang ikut-ikutan buang sampah rumah tangga kesitu.",Sedang,llm_generated
ID-0076,"Halo admin, tolong sampaikan ke petugas pengangkut sampah, kalau pas narik keliling pakai tossa sekalian bawa sapu lidi ya. Soalnya di sekitar area depo pembuangan masih banyak tercecer sisa-sisa bungkus plastik kecil yang ngga keangkut pakai sekop.",Sedang,llm_generated
ID-0077,"Min, jadwal pengangkutan sampah pasca acara pasar malam di lapangan desa sepertinya telat parah ya. Pagi ini anak-anak mau olahraga ngga bisa karena lapangan masih penuh sama sisa-sisa bungkus makanan dan tusuk sate pedagang semalam.",Sedang,llm_generated
ID-0078,"Halo pak, ini pelan-pelan volume sampah botol plastik bekas minuman di aliran selokan depan rumah saya mulai menumpuk. Memang belum menyumbat arus air secara total, tapi ngelihatnya sangat merusak estetika lingkungan asri di sini.",Sedang,llm_generated
ID-0079,"Lapor min, tolong armada truk pengangkut menyempatkan ambil tumpukan sampah kardus bekas di pinggir trotoar jalan utama. Kondisinya sekarang basah kuyup kena hujan berturut-turut, jadi hancur lembek dan bikin aspal sekitarnya kotor lengket.",Sedang,llm_generated
ID-0080,"Permisi admin, banyak warga RT sini yang mulai komplain. Petugas penarik iuran kebersihan datangnya selalu on-time di awal bulan, tapi giliran ngambil sampahnya kok malah suka bolong-bolong jadwalnya. Tolong evaluasi dan tertibkan lagi jadwal operasionalnya.",Sedang,llm_generated
ID-0081,"Halo min, nanya info bentar dong. Kalau untuk jadwal masuknya truk atau mobil pickup sampah ke area Perumahan Griya Asri Jalan Magelang RT 03 RW 07 besok itu biasanya sampai jam berapa ya? Biar saya bisa prepare ngeluarin plastiknya dari dalam halaman.",Rendah,llm_generated
ID-0082,"Lapor dinas terkait, warga di sekitaran Taman Candra Wilwatikta mau nanya jadwal armada. Kalau armada truk pengangkut yang jalur pengambilannya melewati area taman ini itu biasanya standby jam berapa ya? Biar kami yang kerja shift pagi bisa menitipkan kresek di depan tanpa kelewatan.",Rendah,llm_generated
ID-0083,"Selamat siang admin kelurahan, perwakilan warga RT 04 RW 02 Sonosewu Kasihan mau tanya prosedur pembuangan barang ukuran besar kayak dipan bambu yang udah patah itu aturannya gimana ya? Apa bisa ditaruh depan rumah nunggu jadwal gerobak lewat atau harus lapor khusus?",Rendah,llm_generated
ID-0084,"Permisi min, besok pas jadwal petugas pengangkut sampah melewati Jalan Anggrek No. 7 Sleman, tolong pesen sekalian buat ambilin karung sisa potongan rumput liar di depan garasi saya ya. Udah saya packing rapi dan diikat kencang kok siap angkut.",Rendah,llm_generated
ID-0085,"Halo admin DLH, saya mau buang limbah ukuran besar nih berupa kasur busa bekas lipat. Ini SOP nya apakah boleh ditaruh bareng sampah biasa, atau ada kontak petugas khusus yang melayani angkut barang besar? Posisi saya di Seturan Raya butuh infonya.",Rendah,llm_generated
ID-0086,"Selamat pagi kelurahan, saya warga RW 05 Condongcatur mau tanya informasi layanan. Kalau warga mau ikut langganan retribusi penarikan sampah bulanan itu daftarnya harus lapor ke pak RT dulu atau bisa langsung nitip ke petugas gerobak dorong yang keliling ya?",Rendah,llm_generated
ID-0087,"Permisi min, mau memastikan jadwal besok nih. Berhubung besok kalender libur tanggal merah, apakah armada motor sampah keliling di area Perumahan Candi Gebang tetap beroperasi ngambilin sampah atau ikutan libur juga? Info ya biar warga ngga numpuk di luar pagar.",Rendah,llm_generated
ID-0088,"Halo pak petugas kebersihan, saya barusan habis beres-beres gudang dan ada tumpukan limbah kering berupa sisa kertas koran lawas dan kardus bekas. Nanti sore kalau armada pickup lewat depan Jalan Mawar Kotagede, mohon sekalian dibantu angkut masuk bak ya.",Rendah,llm_generated
ID-0089,"Lapor pak RT atau pihak kelurahan, warga yang tinggal di pojokan Gang Nanas Wirobrajan mau tanya kepastian jadwal armada pengangkut. Kalau pas libur nasional besok itu truknya tetep masuk gang narik sampah warga ngga ya pak? Mohon infonya.",Rendah,llm_generated
ID-0090,"Halo admin DLH, buat bapak petugas yang biasa keliling di Gedongkuning Selatan, saya mau tanya prosedur dong. Kalau mau buang sisa rak sepatu kayu yang udah rusak, itu apa bisa ditaruh depan rumah nunggu jadwal truk lewat atau pesen pickup khusus?",Rendah,llm_generated
ID-0091,"Permisi kelurahan, warga sekitaran pos ronda RT 06 Maguwoharjo mau tanya jadwal operasional armada nih. Untuk rutinitas truk sampah yang ngelewatin rute pinggir jalan besar ini biasanya standby jam berapa ya pagi harinya? Biar gampang nyesuaiin waktunya.",Rendah,llm_generated
ID-0092,"Min ijin bertanya, kalau warga ada barang bekas ukuran lumayan gede kayak kasur lantai rusak atau karpet usang gitu, prosedur pembuangannya gimana ya? Apa bisa ditaruh depan rumah pas jadwal truk lewat atau harus pesan armada pickup dinas di sekitaran kota Jogja biar aman?",Rendah,llm_generated
ID-0093,"Siang min, sekadar ngabari jadwal besok ya. Besok siang di rumah saya Jalan Flamboyan No. 4 Mlati kebetulan ada acara kumpul keluarga, jadi kemungkinan kresek sisa bungkus makanannya bakal lebih banyak sedikit. Tolong bapak petugas gerobak disiapin space agak longgar ya pas lewat gang kami.",Rendah,llm_generated
ID-0094,"Halo pak RT, penghuni baru di Jalan Imogiri Barat RT 02 pada nanya informasi operasional armada nih. Minta tolong diinfokan kembali untuk jadwal pasti mas gerobak sampah lewat rute perumahan sini hari apa aja ya pak? Biar warga pada tau dan ngga telat ngeluarin keranjangnya.",Rendah,llm_generated
ID-0095,"Permisi DLH, warga di samping balai desa Jalan Kaliurang KM 8 RT 01 mau tanya soal prosedur buang barang bekas. Kalau mau menyingkirkan meja kayu lapuk apa boleh langsung dikarungin ditaruh di depan pagar nunggu armada lewat, atau harus lapor buat penjemputan khusus dinas ya?",Rendah,llm_generated
ID-0096,Permisi bapak kru pengangkut armada di Jalan Kenari Gondokusuman. Saya mau nanya kepastian rutinitas keliling untuk minggu ini tuh hari apa saja ya masuk gangnya? Biar saya bisa siapin plastik kresek sisa di dalam rumah ke luar pagar tepat waktu dan tidak kelamaan menumpuk.,Rendah,llm_generated
ID-0097,"Permisi min DLH, warga yang tinggal di sekitaran trotoar depan minimarket Jalan Monjali mau nanya prosedur pendaftaran layanan. Kalau semisal lingkungan kami berminat daftar layanan penarikan gerobak bulanan, itu persyaratannya apa saja ya? Biar sisa kresek dapur rumah bisa rutin ditarik sama petugas desa.",Rendah,llm_generated
ID-0098,"Halo admin kelurahan, ngapunten nanya info prosedur operasional nih. Kalau misal warga RT 05 RW 03 Banguntapan ada sisa satu kresek kecil rontokan daun di pekarangan, apakah bisa langsung ditaruh depan rumah pas jadwal bapak petugas lewat biar sekalian diangkut masuk bak?",Rendah,llm_generated
ID-0099,"Darurat min! Tumpukan sampah di pinggir Ringroad Utara kondisinya udah tumpah ruah meluber sampai ke lajur kiri aspal. Bahaya banget astaga, apalagi kalau malam penerangannya kurang, takutnya ada motor ngebut nabrak gunungan limbah itu.",Tinggi,llm_generated
ID-0100,"Tolong dinas kebersihan segera bertindak! Kami mahasiswa ngekos di Seturan udah ngga bisa tidur nyenyak. Sampah di gang kosan dibiarkan membusuk semingguan, sampai belatung dan uget-uget merayap ke teras kamar kami. Jijik banget tolong diangkut segera!",Tinggi,llm_generated
ID-0101,Ini TPS Piyungan ada info penutupan lagi kah? Soalnya tumpukan limbah sisa sayur dan daging di Pasar Kranggan udah menggunung ga ditarik-tarik armadanya. Baunya nyengat banget sampai bikin pedagang mual dan pembeli pada kabur ngga jadi belanja.,Tinggi,llm_generated
ID-0102,"Lapor gawat! Tolong segera inspeksi ke TPS liar di area belakang RS Sardjito. Sepertinya ada oknum yang nekat mbakar sampah medis atau kabel, parahnya lagi asap tebal bau bahan kimia itu nyasar masuk ke bangsal rawat inap. Ini bahaya banget buat pasien!",Tinggi,llm_generated
ID-0103,"Halo min, warga pendatang di Condongcatur mau lapor. Ada oknum buka lahan pembuangan sampah ilegal persis di tebing pinggir sungai. Sekarang tumpukannya longsor ke bawah, nyumbat aliran air. Kalau hujan deras sore ini dipastikan daerah sini bakal banjir.",Tinggi,llm_generated
ID-0104,"Tolong armada pembersih segera diturunkan ke Depo Kotabaru. Air lindi sisa tumpukan sampah yang warnanya hitam legam ngalir deras membasahi jalan raya. Selain baunya bikin muntah, aspalnya jadi super licin dan rawan bikin pemotor tergelincir.",Tinggi,llm_generated
ID-0105,"Lapor kejahatan lingkungan! Semalam ada armada truk dump ga dikenal dengan sengaja bongkar muatan limbah pabrik berbau nyengat di pinggir jalan Godean. Tolong polisi dan DLHK segera melacak lewat rekaman CCTV, warga sekitar pusing nyium baunya.",Tinggi,llm_generated
ID-0106,"Pak bupati tolong perhatiannya! Lokasi penampungan sampah persis di depan gerbang SD Jetis itu sangat tidak layak. Baunya udah level ekstrem, banyak anak-anak SD yang pucat dan mual pas jam istirahat. Tolong segera diangkut atau direlokasi posisinya!",Tinggi,llm_generated
ID-0107,Tolong dinas lingkungan hidup! Kami warga Pogung udah terisolasi sama bau busuk. TPS sementara di ujung gang sekarang tingginya udah nyaris setara tembok rumah kosan. Angin bawa lalat ijo ke dalam rumah warga. Hari ini armadanya harus dikerahkan!,Tinggi,llm_generated
ID-0108,"Lapor dinas PU dan kebersihan, gorong-gorong utama di perempatan lampu merah Gejayan tersumbat total sama lautan sampah plastik dan kantong kresek. Kalau sore ini Jogja diguyur hujan deras, perempatan ini pasti langsung tenggelam jadi banjir bandang.",Tinggi,llm_generated
ID-0109,"Warga Umbulharjo mau demo ini min! Pintu depo jelas-jelas sudah dipasang gembok, tapi oknum luar kampung tetap nekat ngelempar kresek sampahnya ke jalanan depan depo. Akibatnya separuh jalan aspal tertutup tumpukan busuk. Tertibkan dong pakai denda!",Tinggi,llm_generated
ID-0110,"Tolong gerak cepatnya armada DLH. Pemandangan di kolong Flyover Jombor makin hancur gara-gara jadi titik buang sampah liar. Gunungan sampahnya makin membesar, kumuh, dan baunya kemana-mana. Mohon segera diangkut dan dipasangi jaring pengaman.",Tinggi,llm_generated
ID-0111,"Halo dinas kebersihan, lalat ijo puyeng dari tumpukan limbah sisa pasar Beringharjo udah invasi membludak ke warung-warung makan di sekitarnya. Omzet pedagang pada anjlok karena pelanggan jijik dan lari. Tolong diangkut segera baunya udah pekat banget!",Tinggi,llm_generated
