id_laporan,teks_laporan,label_prioritas,sumber_data,teks_bersih,label
ID-1404,Apresiasi untuk petugas yang bertugas menyapu aspal di jalan Parangtritis. Lalu lintas sering ngebut tapi bapaknya tetep fokus dan mengutamakan kebersihan.,Unknown,llm_generated,apresiasi untuk petugas yang bertugas menyapu aspal di jalan parangtritis. lalu lintas sering ngebut tapi bapaknya tetep fokus dan mengutamakan kebersihan.,3
ID-0826,"Aduh ini jujurly bau bgt lho pas lwt dpn perempatan Jln Jlagran Tegalrejo siang ini. Kelihatanne kontainer TPS udh overload tp armadane ga mampir-mampir narik dr kmrn. Tolong di-push mas gerobake ben ditarik dhisik jadwal e nggih, mambu asem e jian ngganggu bgt.",Sedang,llm_generated,"aduh ini jujurly bau bgt lho pas lwt dpn perempatan jln jlagran tegalrejo siang ini. kelihatanne kontainer tps udh overload tp armadane ga mampir-mampir narik dr kmrn. tolong di-push mas gerobake ben ditarik dhisik jadwal e nggih, mambu asem e jian ngganggu bgt.",1
ID-0495,"Permisi bapak ibu instansi kebersihan, mau tanya prosedur layanan desa nih. Kalau semisal lingkungan kami di Jalan Pleret KM 2 berminat mendaftar layanan penarikan gerobak sampah bulanan, itu persyaratannya apa saja ya administrasinya? Warga sini udah sepakat pengen langganan biar sisa limbah rumah rutin ditarik.",Rendah,llm_generated,"permisi bapak ibu instansi kebersihan, mau tanya prosedur layanan desa nih. kalau semisal lingkungan kami di jalan pleret km 2 berminat mendaftar layanan penarikan gerobak sampah bulanan, itu persyaratannya apa saja ya administrasinya? warga sini udah sepakat pengen langganan biar sisa limbah rumah rutin ditarik.",0
ID-0569,"Nyuwun sewu bapak ibu kelurahan, saya warga pendatang yang ngontrak di perempatan Jalan Kenari Kota Baru. Mau tanya prosedur pembuangan barang ukuran besar kayak dipan bambu yang udah patah itu aturannya gimana ya? Apa bisa ditaruh depan rumah nunggu jadwal gerobak lewat?",Rendah,llm_generated,"nyuwun sewu bapak ibu kelurahan, saya warga pendatang yang ngontrak di perempatan jalan kenari kota baru. mau tanya prosedur pembuangan barang ukuran besar kayak dipan bambu yang udah patah itu aturannya gimana ya? apa bisa ditaruh depan rumah nunggu jadwal gerobak lewat?",0
ID-1174,"Lapor pak bupati, ini jalan raya tajem maguwoharjo kapan ada perbaikan ya. Saking parahnya lubang di tengah jalan, tadi pagi warga sekitar inisiatif nanem pohon pisang di lubangnya sebagai bentuk protes dan tanda peringatan biar motor ga pada kejeblos. Udah berbulan bulan kondisinya dibiarkan rusak parah padahal ini akses jalan hidup yang rame dilewati warga tiap hari pergi kerja.",Unknown,berita,"lapor pak bupati, ini jalan raya tajem maguwoharjo kapan ada perbaikan ya. saking parahnya lubang di tengah jalan, tadi pagi warga sekitar inisiatif nanem pohon pisang di lubangnya sebagai bentuk protes dan tanda peringatan biar motor ga pada kejeblos. udah berbulan bulan kondisinya dibiarkan rusak parah padahal ini akses jalan hidup yang rame dilewati warga tiap hari pergi kerja.",3
ID-1489,"Ngab, fyi ada dipan kayu bekas di depan, ntar tolong diangkut sekalian yak pas lewat.",Rendah,llm_generated,"ngab, fyi ada dipan kayu bekas di depan, ntar tolong diangkut sekalian yak pas lewat.",0
ID-1400,"Sangat puas dengan layanan jemput sampah di Kasihan. Mas-masnya teliti banget, sampai potongan kertas kecil yang jatuh aja disapuin lagi ke dalem bak.",Unknown,llm_generated,"sangat puas dengan layanan jemput sampah di kasihan. mas-masnya teliti banget, sampai potongan kertas kecil yang jatuh aja disapuin lagi ke dalem bak.",3
ID-0374,"Bapak pengelola kawasan Malioboro, sisa-sisa bungkus makanan dan tisu dari lapak pedagang kaki lima area utara belum tersapu bersih pagi ini. Kemungkinan petugas shift malam kurang teliti, jadinya masih ada kotoran berserakan di sekitar bangku pedestrian. Mohon diterjunkan regu penyapu pagi buat ngerapihin ya pak.",Sedang,llm_generated,"bapak pengelola kawasan malioboro, sisa-sisa bungkus makanan dan tisu dari lapak pedagang kaki lima area utara belum tersapu bersih pagi ini. kemungkinan petugas shift malam kurang teliti, jadinya masih ada kotoran berserakan di sekitar bangku pedestrian. mohon diterjunkan regu penyapu pagi buat ngerapihin ya pak.",1
ID-0320,"Halo puskesmas dan petugas kebersihan, air lindi berbau gas metana dari depo penampungan Jalan Rejowinangun perlahan merembes ke dalam tanah dan mencemari sumur-sumur air bersih milik warga sekitar. Air sumur yang disedot sanyo sudah terlihat keruh kecoklatan dan berbau amis. Warga ketakutan krisis air bersih, minta tolong ditangani!",Tinggi,llm_generated,"halo puskesmas dan petugas kebersihan, air lindi berbau gas metana dari depo penampungan jalan rejowinangun perlahan merembes ke dalam tanah dan mencemari sumur-sumur air bersih milik warga sekitar. air sumur yang disedot sanyo sudah terlihat keruh kecoklatan dan berbau amis. warga ketakutan krisis air bersih, minta tolong ditangani!",2
ID-0580,"Darurat hubungi damkar dan tim penyelamat! Ada kobaran api besar dari pembakaran sampah liar di lahan kosong kering tepat di belakang area kos-kosan padat Pogung Lor Sinduadi. Anginnya kencang bawa percikan api terbang ke arah atap rumah warga. Kami udah kontak damkar, tolong instansi terkait segera turun memblokir pelakunya!",Tinggi,llm_generated,"darurat hubungi damkar dan tim penyelamat! ada kobaran api besar dari pembakaran sampah liar di lahan kosong kering tepat di belakang area kos-kosan padat pogung lor sinduadi. anginnya kencang bawa percikan api terbang ke arah atap rumah warga. kami udah kontak damkar, tolong instansi terkait segera turun memblokir pelakunya!",2
ID-1321,"Waspada lur, tadi di pasar beringharjo ada rombongan orang botak pakai baju biksu minta sumbangan maksa ke toko toko. Pas diajak ngomong pakai bahasa mandarin sama koko pemilik emas mereka bingung dan lari. Fix komplotan penipu berkedok pemuka agama.",Unknown,merapi_uncover,"waspada lur, tadi di pasar beringharjo ada rombongan orang botak pakai baju biksu minta sumbangan maksa ke toko toko. pas diajak ngomong pakai bahasa mandarin sama koko pemilik emas mereka bingung dan lari. fix komplotan penipu berkedok pemuka agama.",3
ID-0114,"Lapor polsek dan DLH, warga Terban udah di ambang batas kesabaran. Asap tebal hitam dari oknum pembakar sampah tumpukan di bantaran Kali Code benar-benar meracuni udara warga. Balita pada batuk dan lansia sesak napas. Grebek sekarang juga pelakunya!",Tinggi,llm_generated,"lapor polsek dan dlh, warga terban udah di ambang batas kesabaran. asap tebal hitam dari oknum pembakar sampah tumpukan di bantaran kali code benar-benar meracuni udara warga. balita pada batuk dan lansia sesak napas. grebek sekarang juga pelakunya!",2
ID-0989,"Min lapor darurat! Iki neng sekitaran Perumahan Griya Banguntapan Indah blok B, ambu bosok soko got sing mampet kebekan kresek wis ra ketulungan blas! Laler ijo ewonan beterbangan mlebu menyang warung-warung makan kene. Iki jelas bahaya penyakit kagem kesehatan warga, tulung disedot banyune saiki jg!",Tinggi,llm_generated,"min lapor darurat! iki neng sekitaran perumahan griya banguntapan indah blok b, ambu bosok soko got sing mampet kebekan kresek wis ra ketulungan blas! laler ijo ewonan beterbangan mlebu menyang warung-warung makan kene. iki jelas bahaya penyakit kagem kesehatan warga, tulung disedot banyune saiki jg!",2
ID-1018,"Ini beneran bahaya, belakang Pasar Demangan Gondokusuman jadi tempat pembuangan sampah liar yang makin hari makin gede. Udah ketemu bungkus obat keras dan limbah medis di sana. Minta tolong segera ditertibkan dan dibersihkan.",Tinggi,llm_generated,"ini beneran bahaya, belakang pasar demangan gondokusuman jadi tempat pembuangan sampah liar yang makin hari makin gede. udah ketemu bungkus obat keras dan limbah medis di sana. minta tolong segera ditertibkan dan dibersihkan.",2
ID-1037,"Hadeuh, pengelola sampah di lingkungan Perumahan Puri Ambarukmo asal-asalan banget. Limbah cairan item itu dibuang ke kali kecil depan rumah warga. Baunya busuk banget dan sekarang kalinya mampet. Tolong ditindak tegas!",Tinggi,llm_generated,"hadeuh, pengelola sampah di lingkungan perumahan puri ambarukmo asal-asalan banget. limbah cairan item itu dibuang ke kali kecil depan rumah warga. baunya busuk banget dan sekarang kalinya mampet. tolong ditindak tegas!",2
ID-0988,"Hadeuh min, ini warga di dpn Terminal Giwangan sisi barat pd bandel bgt sih. Msh bnyk yg ngebuang kresek sisa jualan persis di luar kontainer penampungan pdhl di dalemnya msh muat. Lama-lama aspalnya ketutup numpuk trs jd bau asem jg. Tolong dong petugasnya ditegor ato minimal dipasangin plang denda biar pd kapok.",Sedang,llm_generated,"hadeuh min, ini warga di dpn terminal giwangan sisi barat pd bandel bgt sih. msh bnyk yg ngebuang kresek sisa jualan persis di luar kontainer penampungan pdhl di dalemnya msh muat. lama-lama aspalnya ketutup numpuk trs jd bau asem jg. tolong dong petugasnya ditegor ato minimal dipasangin plang denda biar pd kapok.",1
ID-0868,"Min, gue butuh update fix jadwal pengangkutan armada di sepanjang Jln Imogiri Barat KM 7 nih. Udh delay 3 harian dr normalnya anjir. Tumpukannya udh mulai bau asem trs berjejer ngga estetik bgt di bbrp spot aspal. Tolong di-follow up dong ke pihak armada pengangkut ASAP ben ra tambah numpuk.",Sedang,llm_generated,"min, gue butuh update fix jadwal pengangkutan armada di sepanjang jln imogiri barat km 7 nih. udh delay 3 harian dr normalnya anjir. tumpukannya udh mulai bau asem trs berjejer ngga estetik bgt di bbrp spot aspal. tolong di-follow up dong ke pihak armada pengangkut asap ben ra tambah numpuk.",1
ID-0653,Bangsat lah ini kelakuan siapa sih! Di trotoar Jln Malioboro pas dkt Ps Beringharjo ada org sinting buang bangkai ucing dicampur limbah dapur neng lahan kosong. Udah 5 hari mambu bosok jian ra umum marai pengen mutah! Tolong dinas kebersihan evakuasi skrg jg sblm dadi sarang bakteri nular!,Tinggi,llm_generated,bangsat lah ini kelakuan siapa sih! di trotoar jln malioboro pas dkt ps beringharjo ada org sinting buang bangkai ucing dicampur limbah dapur neng lahan kosong. udah 5 hari mambu bosok jian ra umum marai pengen mutah! tolong dinas kebersihan evakuasi skrg jg sblm dadi sarang bakteri nular!,2
ID-1167,"Tolong pantauannya min, ada indikasi rombongan suporter bola pada kumpul kumpul di jalan gejayan bawa bendera besar sama tongkat bambu. Tadi sempat ada adu mulut sama pengendara motor yang lewat karena jalanan diblokir ngga boleh lewat dulu. Warga sekitar udah pada resah takut kejadian tawuran kaya tahun tahun sebelumnya terulang lagi. Tolong pihak kepolisian bisa stand by di lokasi buat pengamanan.",Unknown,berita,"tolong pantauannya min, ada indikasi rombongan suporter bola pada kumpul kumpul di jalan gejayan bawa bendera besar sama tongkat bambu. tadi sempat ada adu mulut sama pengendara motor yang lewat karena jalanan diblokir ngga boleh lewat dulu. warga sekitar udah pada resah takut kejadian tawuran kaya tahun tahun sebelumnya terulang lagi. tolong pihak kepolisian bisa stand by di lokasi buat pengamanan.",3
ID-0918,"Anjir ini bener-bener parah bgt woi! Got di perempatan Bambanglipuro arah Samas mampet total, trs semalem meluap bawa sampah-sampah busuk lgsg masuk ngerendem teras rumah warga! Baunya kyk comberan bosok ngga ketulungan, lumpurnya kotor bgt. BPBD ato PU tolong sgr kirim tim pengeruk got skrg jg!",Tinggi,llm_generated,"anjir ini bener-bener parah bgt woi! got di perempatan bambanglipuro arah samas mampet total, trs semalem meluap bawa sampah-sampah busuk lgsg masuk ngerendem teras rumah warga! baunya kyk comberan bosok ngga ketulungan, lumpurnya kotor bgt. bpbd ato pu tolong sgr kirim tim pengeruk got skrg jg!",2
ID-1120,Satu unit mobil Avanza dirusak massa di Terminal Condongcatur Sleman gegara nekat tabrak lari dua sepeda motor. Pelaku dikejar warga sampai akhirnya ketangkep.,Unknown,berita,satu unit mobil avanza dirusak massa di terminal condongcatur sleman gegara nekat tabrak lari dua sepeda motor. pelaku dikejar warga sampai akhirnya ketangkep.,3
ID-0175,"Halo Pemkab, tolong perhatikan nasib anak SD Karanganyar dong. Di sebelah tembok sekolah persis ada tumpukan limbah liar yang ngga pernah diangkut. Lalatnya invasi masuk ke kelas dan bau busuknya bikin anak-anak ngga bisa konsentrasi belajar sama sekali. Segera relokasi!",Tinggi,llm_generated,"halo pemkab, tolong perhatikan nasib anak sd karanganyar dong. di sebelah tembok sekolah persis ada tumpukan limbah liar yang ngga pernah diangkut. lalatnya invasi masuk ke kelas dan bau busuknya bikin anak-anak ngga bisa konsentrasi belajar sama sekali. segera relokasi!",2
ID-0869,"Halo mas admin, warga Gang Srikandi 5 Jetis Yogyakarta pd rasan-rasan ngeluh bau kurang sedap dr bak penampungan nih. Kapasitas TPS-nya udh kepenuhan tp truk pengangkutnya blm nongol-nongol jg awit wingi. Emang blm meluber parah sih, tp cukup ngeganggu kenyamanan ambegan. Tolong besok armadanya diduluin mampir ya.",Sedang,llm_generated,"halo mas admin, warga gang srikandi 5 jetis yogyakarta pd rasan-rasan ngeluh bau kurang sedap dr bak penampungan nih. kapasitas tps-nya udh kepenuhan tp truk pengangkutnya blm nongol-nongol jg awit wingi. emang blm meluber parah sih, tp cukup ngeganggu kenyamanan ambegan. tolong besok armadanya diduluin mampir ya.",1
ID-0268,"Halo mas petugas, lapor nanya jadwal ya. Untuk armada gerobak warna hijau yang biasa masuk pos ronda RT 02 Jalan Kapas rutinitas pengambilannya hari apa aja nggih? Soalnya saya mau nyocokin waktu buat ikutan naruh keranjang plastik ben ra telat ditarik pas masnya lewat.",Rendah,llm_generated,"halo mas petugas, lapor nanya jadwal ya. untuk armada gerobak warna hijau yang biasa masuk pos ronda rt 02 jalan kapas rutinitas pengambilannya hari apa aja nggih? soalnya saya mau nyocokin waktu buat ikutan naruh keranjang plastik ben ra telat ditarik pas masnya lewat.",0
ID-1219,"Minta tolong sebarkan min, sepupu saya perempuan umur 16 tahun pamit berangkat sekolah sma kemarin pagi bawa motor scoopy merah plat ab tapi sampai detik ini belum pulang ke rumah. Dihubungi hapenya ngga aktif dan wali kelas bilang dia bolos ga masuk kelas. Orang tua udah nangis kebingungan cari ke rumah teman temannya nihil. Bagi yang melihat tolong kontak keluarga kami.",Unknown,berita,"minta tolong sebarkan min, sepupu saya perempuan umur 16 tahun pamit berangkat sekolah sma kemarin pagi bawa motor scoopy merah plat ab tapi sampai detik ini belum pulang ke rumah. dihubungi hapenya ngga aktif dan wali kelas bilang dia bolos ga masuk kelas. orang tua udah nangis kebingungan cari ke rumah teman temannya nihil. bagi yang melihat tolong kontak keluarga kami.",3
ID-0672,"Hai min, permisi mau ngasih info aja. Di area dpn Depo Argolubang Wirobrajan yg mepet masjid itu kyknya ada satu kantong kecil plastik isinya kertas sisa jemaah kelar jumatan. Mumpung blm banyak volumenya, sekiranya besok pas armada lewat bisa minta tolong sekalian dijemput masukin bak ga ya? Makasih.",Rendah,llm_generated,"hai min, permisi mau ngasih info aja. di area dpn depo argolubang wirobrajan yg mepet masjid itu kyknya ada satu kantong kecil plastik isinya kertas sisa jemaah kelar jumatan. mumpung blm banyak volumenya, sekiranya besok pas armada lewat bisa minta tolong sekalian dijemput masukin bak ga ya? makasih.",0
ID-0463,"Halo petugas kebersihan, ada sedikit masukan buat kru yang narik di Gang Bougenvil RT 03 Baciro. Kalau ngangkat kresek jumbo dari tong warga tolong lebih berhati-hati ngga usah ditarik paksa ya mas. Sering banget plastiknya jebol di jalan karena terlalu berat, akhirnya sisa kuah makanannya tumpah berceceran di paving depan rumah.",Sedang,llm_generated,"halo petugas kebersihan, ada sedikit masukan buat kru yang narik di gang bougenvil rt 03 baciro. kalau ngangkat kresek jumbo dari tong warga tolong lebih berhati-hati ngga usah ditarik paksa ya mas. sering banget plastiknya jebol di jalan karena terlalu berat, akhirnya sisa kuah makanannya tumpah berceceran di paving depan rumah.",1
ID-0418,"Nyuwun sewu petugas kebersihan, saya pemilik warung makan di pinggiran Jalan Lowanu Mergangsan. Kalau semisal saya mau ikut langganan iuran pengambilan sampah rutin harian sama petugas gerobak kampung, itu pendaftarannya kemana ya dan besaran biaya retribusinya dipatok berapa nominalnya per bulan?",Rendah,llm_generated,"nyuwun sewu petugas kebersihan, saya pemilik warung makan di pinggiran jalan lowanu mergangsan. kalau semisal saya mau ikut langganan iuran pengambilan sampah rutin harian sama petugas gerobak kampung, itu pendaftarannya kemana ya dan besaran biaya retribusinya dipatok berapa nominalnya per bulan?",0
ID-1074,DARURAT! Ada tumpukan sampah terbakar di lahan kosong belakang area Lempuyangan dekat stasiun. Apinya udah nambah gede dan angin bawa bara ke arah rumah warga. Udah kontak damkar tapi minta juga bantuan dari dinas.,Tinggi,llm_generated,darurat! ada tumpukan sampah terbakar di lahan kosong belakang area lempuyangan dekat stasiun. apinya udah nambah gede dan angin bawa bara ke arah rumah warga. udah kontak damkar tapi minta juga bantuan dari dinas.,2
ID-1201,"Lapor dinas pekerjaan umum, aspal di jalan penghubung antar desa daerah sedayu tiba tiba ambles sedalam dua meter bikin lubang menganga di tengah jalan. Kayanya tanah di bawahnya kegerus aliran sungai pas hujan lebat berhari hari. Tolong segera ditutup pakai garis polisi dan dikasih penerangan karena sangat fatal kalau ada motor lewat malam hari ga kelihatan lubangnya.",Unknown,berita,"lapor dinas pekerjaan umum, aspal di jalan penghubung antar desa daerah sedayu tiba tiba ambles sedalam dua meter bikin lubang menganga di tengah jalan. kayanya tanah di bawahnya kegerus aliran sungai pas hujan lebat berhari hari. tolong segera ditutup pakai garis polisi dan dikasih penerangan karena sangat fatal kalau ada motor lewat malam hari ga kelihatan lubangnya.",3
ID-1453,"Permisi pak, mau nanya prosedur buang dipan kayu yang patah gimana ya? Apa bisa ditaruh di ujung gang aja nunggu diangkut?",Rendah,llm_generated,"permisi pak, mau nanya prosedur buang dipan kayu yang patah gimana ya? apa bisa ditaruh di ujung gang aja nunggu diangkut?",0
ID-0949,"Permisi min, ini tumpukan kresek di sepanjang area kos-kosan Pogung Lor Sinduadi udh bener-bener ganggu kenyamanan bgt. Pedagang makanan di sekitar situ pd ngeluh krn pembelinya kabur ngga jadi mampir krn bau asemnya nyengat bgt lwt depan hidung. Tolong dikoordinasiin sm petugas armadanya biar bsk siang udh ditarik bersih ya mas.",Sedang,llm_generated,"permisi min, ini tumpukan kresek di sepanjang area kos-kosan pogung lor sinduadi udh bener-bener ganggu kenyamanan bgt. pedagang makanan di sekitar situ pd ngeluh krn pembelinya kabur ngga jadi mampir krn bau asemnya nyengat bgt lwt depan hidung. tolong dikoordinasiin sm petugas armadanya biar bsk siang udh ditarik bersih ya mas.",1
ID-0152,"Lapor pak dukuh, mumpung besok saya libur kerja, mau menanyakan jadwal mas gerobak roda tiga di wilayah Jalan Tegalgendu No. 12 Kotagede itu kelilingnya jam berapa ya pastinya? Saya mau menyiapkan kresek sisa bersih bersih luwih awal biar tidak telat ditarik mas petugas.",Rendah,llm_generated,"lapor pak dukuh, mumpung besok saya libur kerja, mau menanyakan jadwal mas gerobak roda tiga di wilayah jalan tegalgendu no. 12 kotagede itu kelilingnya jam berapa ya pastinya? saya mau menyiapkan kresek sisa bersih bersih luwih awal biar tidak telat ditarik mas petugas.",0
ID-0766,"Lur, iki parah tenan darurat! Air lindi bosok soko TPS neng Ngaglik Sleman cedhak Ps Rejodani wis mbleber parah masuk menyang selokan kampung. Sumur resapan warga lgsg butek trs ambune kyk comberan! Warga kene udh emosi jiwa lan resah bgt, tolong aparat desa lgsg turun tangan ndandani talud e saiki!",Tinggi,llm_generated,"lur, iki parah tenan darurat! air lindi bosok soko tps neng ngaglik sleman cedhak ps rejodani wis mbleber parah masuk menyang selokan kampung. sumur resapan warga lgsg butek trs ambune kyk comberan! warga kene udh emosi jiwa lan resah bgt, tolong aparat desa lgsg turun tangan ndandani talud e saiki!",2
ID-0047,"Min, semalam ada indikasi pembuangan limbah berkarung-karung secara diam-diam di bawah jembatan Teknik UGM oleh truk tak dikenal. Bau busuknya menyengat sampai ke kampung sekitar. Tolong diselidiki.",Tinggi,llm_generated,"min, semalam ada indikasi pembuangan limbah berkarung-karung secara diam-diam di bawah jembatan teknik ugm oleh truk tak dikenal. bau busuknya menyengat sampai ke kampung sekitar. tolong diselidiki.",2
ID-0711,"Hei min, tlg pantau petugas sapunya dong. Iki lho neng Jln Kaliurang KM 14 area Pakem bnyk bgt plastik jajan sm botol sing numpuk neng njero selokan ngarep minimarket. Emang blm mampet total sih, tp klo dibiarin ujan dikit lgsg nyumbat. Tolong dikerahkan petugas sing rajin ben disapu bersih sblm dadi masalah panjang.",Sedang,llm_generated,"hei min, tlg pantau petugas sapunya dong. iki lho neng jln kaliurang km 14 area pakem bnyk bgt plastik jajan sm botol sing numpuk neng njero selokan ngarep minimarket. emang blm mampet total sih, tp klo dibiarin ujan dikit lgsg nyumbat. tolong dikerahkan petugas sing rajin ben disapu bersih sblm dadi masalah panjang.",1
ID-0906,"Sugeng enjing min, lapor saking warga area Pasar Cebongan Sleman nggih. Iki lho enek bbrp kantong kresek sampah sing keri ra keangkut mas petugas wingi sore. Saiki wis mulai mambu rodo bosok lan dikerubungi laler neng ngarep pager. Minta tolong bsk pas keliling dijemput rumiyin nggih mas, suwun.",Sedang,llm_generated,"sugeng enjing min, lapor saking warga area pasar cebongan sleman nggih. iki lho enek bbrp kantong kresek sampah sing keri ra keangkut mas petugas wingi sore. saiki wis mulai mambu rodo bosok lan dikerubungi laler neng ngarep pager. minta tolong bsk pas keliling dijemput rumiyin nggih mas, suwun.",1
ID-0430,"Permisi bapak ibu kelurahan, saya ibu rumah tangga di area Jalan Polowijan Kotagede mau nanya operasional. Kalau kebetulan besok hari Jumat jatuhnya libur panjang, armada gerobak sampah keliling tetap beroperasi masuk gang seperti biasa atau diliburkan ya pak? Biar warga ngga kecele.",Rendah,llm_generated,"permisi bapak ibu kelurahan, saya ibu rumah tangga di area jalan polowijan kotagede mau nanya operasional. kalau kebetulan besok hari jumat jatuhnya libur panjang, armada gerobak sampah keliling tetap beroperasi masuk gang seperti biasa atau diliburkan ya pak? biar warga ngga kecele.",0
